Subplot,TreeID,TreeID_Onsite,Stand,Con_DBH,Con_X,Con_Y,Con_Z,Pad_DBH,Pad_X,Pad_Y,Pad_Z,Pho_DBH,Pho_X,Pho_Y,Pho_Z
3,56,684,Bp,11.8,-70046.89318,-110746.3038,0.768,11.6,-70046.96875,-110744.5547,125.6,12.0,-70049.70312,-110748.0391,125.8
4,1,688,Bp,11.0,-70051.1415,-110740.0778,0.579,14.0,-70047.82812,-110737.8125,125.1,9.9,-70047.2234,-110736.5772,125.9
4,2,689,Bp,34.4,-70048.64504,-110737.1368,0.602,35.6,-70045.25,-110735.0938,124.9,34.2,-70044.8494488958,-110733.652814911,125.9
4,3,690,Bp,22.9,-70047.38264,-110735.333,0.501,20.3,-70043.84375,-110733.4688,125.1,23.0,-70043.6117630231,-110731.901449821,125.9
4,4,691,Bp,49.6,-70043.3477,-110731.0928,0.444,48.6,-70039.53906,-110729.5391,125.0,50.0,-70039.7417983761,-110727.658819618,126.0
4,5,692,Bp,51.7,-70041.82258,-110729.4601,0.448,47.8,-70037.83594,-110727.9844,124.8,48.4,-70038.2131946213,-110726.007780127,126.0
4,6,534,Cp,7.4,-70037.98231,-110736.9954,0.405,9.0,-70034.59375,-110736.0547,125.0,8.0,-70034.1761436312,-110733.477880878,125.8
4,7,536,Cp,20.3,-70036.7926,-110737.1903,0.611,26.3,-70033.48438,-110736.3438,125.0,19.5,-70032.975516252,-110733.667968312,126.0
4,8,535,Cp,13.9,-70036.69329,-110738.9165,0.584,11.1,-70033.64062,-110737.9063,125.1,12.3,-70032.94795685,-110735.242419777,125.7
4,9,532,Cp,11.5,-70039.63366,-110739.6647,0.741,12.3,-70036.61719,-110738.3281,125.1,12.4,-70035.8202782732,-110736.089308162,125.7
4,10,531,Cp,13.3,-70041.10555,-110741.4706,0.777,12.4,-70038.27344,-110740.0156,125.4,13.2,-70037.292484235,-110737.931792145,125.7
4,11,530,Cp,7.5,-70039.09546,-110740.9859,0.669,8.7,-70036.21875,-110739.6875,125.1,8.5,-70035.298713827,-110737.408697396,125.6
4,12,528,Cp,11.5,-70036.15682,-110740.3609,0.647,9.0,-70033.21094,-110739.25,125.1,12.8,-70032.3733820049,-110736.653941499,125.7
4,13,527,Cp,18.2,-70035.58095,-110742.0814,0.762,18.9,-70032.71094,-110741.2344,125.2,15.8,-70031.6382606077,-110738.546272679,125.5
4,14,526,Cp,18.0,-70036.69038,-110742.3336,0.64,19.6,-70033.92188,-110741.3438,125.3,18.9,-70032.8222027821,-110738.831018446,125.5
4,15,525,Cp,6.1,-70037.5779,-110742.5267,0.802,8.4,-70034.88281,-110741.4375,125.3,7.9,-70033.738232658,-110739.034435235,125.6
4,16,524,Cp,19.3,-70038.56922,-110742.7971,0.811,24.0,-70035.83594,-110741.5781,125.3,20.2,-70034.6842673493,-110739.327374115,125.6
4,17,522,Cp,9.1,-70042.56354,-110743.7428,0.852,6.4,-70039.92188,-110742.0625,125.4,10.2,-70038.5121753926,-110740.351478142,125.5
4,18,519,Cp,10.1,-70040.93119,-110745.661,0.787,10.7,-70038.58594,-110744.0547,125.5,10.3,-70036.9470886437,-110742.109683114,125.5
4,19,518,Cp,11.1,-70039.22553,-110744.938,0.859,11.4,-70036.69531,-110743.5938,125.4,10.2,-70035.1525395722,-110741.42222293,125.5
4,20,517,Cp,11.7,-70038.18043,-110744.7424,0.861,11.6,-70035.66406,-110743.5156,125.4,12.7,-70034.1596590167,-110741.205005307,125.5
