Category,Region,Year,Value,Area
Hardwood,Arges,2009,194500,Hectares
Hardwood,Arges,2010,194500,Hectares
Hardwood,Arges,2011,194400,Hectares
Hardwood,Arges,2012,194500,Hectares
Hardwood,Arges,2013,194500,Hectares
Hardwood,Arges,2014,194500,Hectares
Hardwood,Arges,2015,188700,Hectares
Hardwood,Arges,2016,187700,Hectares
Hardwood,Arges,2017,188100,Hectares
Hardwood,Arges,2018,187100,Hectares
Hardwood,Arges,2019,187700,Hectares
Hardwood,Dambovita,1990,100900,Hectares
Hardwood,Dambovita,1991,100800,Hectares
Hardwood,Dambovita,1992,101000,Hectares
Hardwood,Dambovita,1993,101100,Hectares
Hardwood,Dambovita,1994,100300,Hectares
Hardwood,Dambovita,1995,101700,Hectares
Hardwood,Dambovita,1996,100700,Hectares
Hardwood,Dambovita,1997,100400,Hectares
Hardwood,Dambovita,1998,100300,Hectares
Hardwood,Dambovita,1999,100700,Hectares
Hardwood,Dambovita,2000,100500,Hectares
Hardwood,Dambovita,2001,100600,Hectares
Hardwood,Dambovita,2002,100600,Hectares
Hardwood,Dambovita,2003,101200,Hectares
Hardwood,Dambovita,2004,101000,Hectares
Hardwood,Dambovita,2005,100800,Hectares
Hardwood,Dambovita,2006,101300,Hectares
Hardwood,Dambovita,2007,100500,Hectares
Hardwood,Dambovita,2008,101300,Hectares
Hardwood,Dambovita,2009,100500,Hectares
Hardwood,Dambovita,2010,101800,Hectares
Hardwood,Dambovita,2011,102200,Hectares
Hardwood,Dambovita,2012,101800,Hectares
Hardwood,Dambovita,2013,101800,Hectares
Hardwood,Dambovita,2014,101600,Hectares
Hardwood,Dambovita,2015,101900,Hectares
Hardwood,Dambovita,2016,101900,Hectares
Hardwood,Dambovita,2017,101900,Hectares
Hardwood,Dambovita,2018,101900,Hectares
Hardwood,Dambovita,2019,101600,Hectares
Hardwood,Ilfov,1990,25300,Hectares
Hardwood,Ilfov,1991,19200,Hectares
Hardwood,Ilfov,1992,25300,Hectares
Hardwood,Ilfov,1993,24800,Hectares
Hardwood,Ilfov,1994,25000,Hectares
Hardwood,Ilfov,1995,24700,Hectares
Hardwood,Ilfov,1996,24800,Hectares
Hardwood,Ilfov,1997,24600,Hectares
Hardwood,Ilfov,1998,24600,Hectares
Hardwood,Ilfov,1999,24400,Hectares
Hardwood,Ilfov,2000,24700,Hectares
Hardwood,Ilfov,2001,24200,Hectares
Hardwood,Ilfov,2002,24300,Hectares
Hardwood,Ilfov,2003,24100,Hectares
Hardwood,Ilfov,2004,24300,Hectares
Hardwood,Ilfov,2005,24300,Hectares
Hardwood,Ilfov,2006,24300,Hectares
Hardwood,Ilfov,2007,24200,Hectares
Hardwood,Ilfov,2008,24300,Hectares
Hardwood,Ilfov,2009,24100,Hectares
Hardwood,Ilfov,2010,24200,Hectares
Hardwood,Ilfov,2011,24200,Hectares
Hardwood,Ilfov,2012,24200,Hectares
Hardwood,Ilfov,2013,24400,Hectares
Hardwood,Ilfov,2014,24400,Hectares
Hardwood,Ilfov,2015,24400,Hectares
Hardwood,Ilfov,2016,24400,Hectares
Hardwood,Ilfov,2017,24300,Hectares
Hardwood,Ilfov,2018,24300,Hectares
Hardwood,Ilfov,2019,24500,Hectares
Hardwood,Gorj,1990,218800,Hectares
Hardwood,Gorj,1991,218600,Hectares
Hardwood,Gorj,1992,219600,Hectares
Hardwood,Gorj,1993,223400,Hectares
Hardwood,Gorj,1994,224700,Hectares
Hardwood,Gorj,1995,219400,Hectares
Hardwood,Gorj,1996,219400,Hectares
Hardwood,Gorj,1997,219400,Hectares
Hardwood,Gorj,1998,218800,Hectares
Hardwood,Gorj,1999,219300,Hectares
Hardwood,Gorj,2000,219300,Hectares
Hardwood,Gorj,2001,219600,Hectares
Hardwood,Gorj,2002,219300,Hectares
Hardwood,Gorj,2003,219800,Hectares
Hardwood,Gorj,2004,219700,Hectares
Hardwood,Gorj,2005,220500,Hectares
Hardwood,Gorj,2006,219500,Hectares
Hardwood,Gorj,2007,221000,Hectares
Hardwood,Gorj,2008,218400,Hectares
Hardwood,Gorj,2009,218400,Hectares
Hardwood,Gorj,2010,217200,Hectares
Hardwood,Gorj,2011,217300,Hectares
Hardwood,Gorj,2012,217300,Hectares
Hardwood,Gorj,2013,216700,Hectares
Hardwood,Gorj,2014,217000,Hectares
Hardwood,Gorj,2015,217500,Hectares
Hardwood,Gorj,2016,217600,Hectares
Hardwood,Gorj,2017,217900,Hectares
Hardwood,Gorj,2018,218100,Hectares
Hardwood,Gorj,2019,217800,Hectares
Hardwood,Valcea,1990,185900,Hectares
Hardwood,Valcea,1991,185300,Hectares
Hardwood,Valcea,1992,185100,Hectares
Hardwood,Valcea,1993,186800,Hectares
Hardwood,Valcea,1994,186800,Hectares
Hardwood,Valcea,1995,186100,Hectares
Hardwood,Valcea,1996,185900,Hectares
Hardwood,Valcea,1997,186500,Hectares
Hardwood,Valcea,1998,187600,Hectares
Hardwood,Valcea,1999,187800,Hectares
Hardwood,Valcea,2000,187800,Hectares
Hardwood,Valcea,2001,187900,Hectares
Hardwood,Valcea,2002,187900,Hectares
Hardwood,Valcea,2003,186200,Hectares
Hardwood,Valcea,2004,187200,Hectares
Hardwood,Valcea,2005,171400,Hectares
Hardwood,Valcea,2006,170400,Hectares
Hardwood,Valcea,2007,170200,Hectares
Hardwood,Valcea,2008,170400,Hectares
Hardwood,Valcea,2009,171400,Hectares
Hardwood,Valcea,2010,171400,Hectares
Hardwood,Valcea,2011,171700,Hectares
Hardwood,Valcea,2012,172200,Hectares
Hardwood,Valcea,2013,172300,Hectares
Hardwood,Valcea,2014,172400,Hectares
Hardwood,Valcea,2015,172400,Hectares
Hardwood,Valcea,2016,171900,Hectares
Hardwood,Valcea,2017,172000,Hectares
Hardwood,Valcea,2018,171900,Hectares
Hardwood,Valcea,2019,172400,Hectares
Hardwood,Caras-Severin,1990,323900,Hectares
Hardwood,Caras-Severin,1991,323700,Hectares
Hardwood,Caras-Severin,1992,323800,Hectares
Hardwood,Caras-Severin,1993,326500,Hectares
Hardwood,Caras-Severin,1994,326000,Hectares
Hardwood,Caras-Severin,1995,327000,Hectares
Hardwood,Caras-Severin,1996,331700,Hectares
Hardwood,Caras-Severin,1997,331900,Hectares
Hardwood,Caras-Severin,1998,332300,Hectares
Hardwood,Caras-Severin,1999,332300,Hectares
Hardwood,Caras-Severin,2000,332200,Hectares
Hardwood,Caras-Severin,2001,332200,Hectares
Hardwood,Caras-Severin,2002,329400,Hectares
Hardwood,Caras-Severin,2003,328000,Hectares
Hardwood,Caras-Severin,2004,329600,Hectares
Hardwood,Caras-Severin,2005,330500,Hectares
Hardwood,Caras-Severin,2006,351500,Hectares
Hardwood,Caras-Severin,2007,350500,Hectares
Hardwood,Caras-Severin,2008,348700,Hectares
Hardwood,Caras-Severin,2009,350000,Hectares
Hardwood,Caras-Severin,2010,354500,Hectares
Hardwood,Caras-Severin,2011,355400,Hectares
Hardwood,Caras-Severin,2012,356200,Hectares
Hardwood,Caras-Severin,2013,361300,Hectares
Hardwood,Caras-Severin,2014,364400,Hectares
Hardwood,Caras-Severin,2015,369100,Hectares
Hardwood,Caras-Severin,2016,369900,Hectares
Hardwood,Caras-Severin,2017,370800,Hectares
Hardwood,Caras-Severin,2018,377000,Hectares
Hardwood,Caras-Severin,2019,379700,Hectares
Hardwood,Hunedoara,1990,213000,Hectares
Hardwood,Hunedoara,1991,212900,Hectares
Hardwood,Hunedoara,1992,213000,Hectares
Hardwood,Hunedoara,1993,214800,Hectares
Hardwood,Hunedoara,1994,214700,Hectares
Hardwood,Hunedoara,1995,220600,Hectares
Hardwood,Hunedoara,1996,221700,Hectares
Hardwood,Hunedoara,1997,221700,Hectares
Hardwood,Hunedoara,1998,222700,Hectares
Hardwood,Hunedoara,1999,222500,Hectares
Hardwood,Hunedoara,2000,222300,Hectares
Hardwood,Hunedoara,2001,222800,Hectares
Hardwood,Hunedoara,2002,222900,Hectares
Hardwood,Hunedoara,2003,222700,Hectares
Hardwood,Hunedoara,2004,222700,Hectares
Hardwood,Hunedoara,2005,222700,Hectares
Hardwood,Hunedoara,2006,222900,Hectares
Hardwood,Hunedoara,2007,220300,Hectares
Hardwood,Hunedoara,2008,220700,Hectares
Hardwood,Hunedoara,2009,219100,Hectares
Hardwood,Hunedoara,2010,222500,Hectares
Hardwood,Hunedoara,2011,223700,Hectares
Hardwood,Hunedoara,2012,226000,Hectares
Hardwood,Hunedoara,2013,226600,Hectares
Hardwood,Hunedoara,2014,229000,Hectares
Hardwood,Hunedoara,2015,229700,Hectares
Hardwood,Hunedoara,2016,230000,Hectares
Hardwood,Hunedoara,2017,230500,Hectares
Hardwood,Hunedoara,2018,231400,Hectares
Hardwood,Hunedoara,2019,231700,Hectares
Others,Bihor,1990,3000,Hectares
Others,Bihor,1991,3200,Hectares
Others,Bihor,1992,3200,Hectares
Others,Bihor,1993,3200,Hectares
Others,Bihor,1994,3100,Hectares
Others,Bihor,1995,3200,Hectares
Others,Bihor,1996,3200,Hectares
Others,Bihor,1997,3100,Hectares
Others,Bihor,1998,3300,Hectares
Others,Bihor,1999,3200,Hectares
Others,Bihor,2000,3200,Hectares
Others,Bihor,2001,3200,Hectares
Others,Bihor,2002,3400,Hectares
Others,Bihor,2003,3300,Hectares
Others,Bihor,2004,3400,Hectares
Others,Bihor,2005,3600,Hectares
Others,Bihor,2006,3900,Hectares
Others,Bihor,2007,3700,Hectares
Others,Bihor,2008,3800,Hectares
Others,Bihor,2009,3700,Hectares
Others,Bihor,2010,3700,Hectares
Others,Bihor,2011,3600,Hectares
Others,Bihor,2012,3300,Hectares
Others,Bihor,2013,3500,Hectares
Others,Bihor,2014,3600,Hectares
Others,Bihor,2015,3500,Hectares
Others,Bihor,2016,3500,Hectares
Others,Bihor,2017,3600,Hectares
Others,Bihor,2018,3600,Hectares
Others,Bihor,2019,3800,Hectares
Others,Cluj,1990,2000,Hectares
Others,Cluj,1991,1900,Hectares
Others,Cluj,1992,1800,Hectares
Others,Cluj,1993,1800,Hectares
Others,Cluj,1994,1800,Hectares
Others,Cluj,1995,1700,Hectares
Others,Cluj,1996,1800,Hectares
Others,Cluj,1997,1700,Hectares
Others,Cluj,1998,1900,Hectares
Others,Cluj,1999,1900,Hectares
Others,Cluj,2000,1800,Hectares
Others,Cluj,2001,1900,Hectares
Others,Cluj,2002,2000,Hectares
Others,Cluj,2003,2000,Hectares
Others,Cluj,2004,1900,Hectares
Others,Cluj,2005,2000,Hectares
Others,Cluj,2006,1800,Hectares
Others,Cluj,2007,1900,Hectares
Others,Cluj,2008,2000,Hectares
Others,Cluj,2009,1900,Hectares
Others,Cluj,2010,2000,Hectares
Others,Cluj,2011,1800,Hectares
Others,Cluj,2012,2100,Hectares
Others,Cluj,2013,2100,Hectares
Others,Cluj,2014,2000,Hectares
Others,Cluj,2015,2000,Hectares
Others,Cluj,2016,1900,Hectares
Others,Cluj,2017,1900,Hectares
Others,Cluj,2018,2100,Hectares
Others,Cluj,2019,2100,Hectares
Others,Maramures,1990,4700,Hectares
Others,Maramures,1991,4400,Hectares
Others,Maramures,1992,4400,Hectares
Others,Maramures,1993,4600,Hectares
Others,Maramures,1994,4500,Hectares
Others,Maramures,1995,4400,Hectares
Others,Maramures,1996,4600,Hectares
Others,Maramures,1997,4700,Hectares
Others,Maramures,1998,5000,Hectares
Others,Maramures,1999,5000,Hectares
Others,Maramures,2000,4900,Hectares
Others,Maramures,2001,5100,Hectares
Others,Maramures,2002,5100,Hectares
Others,Maramures,2003,5200,Hectares
Others,Maramures,2004,5100,Hectares
Others,Maramures,2005,5600,Hectares
Others,Maramures,2006,5700,Hectares
Others,Maramures,2007,6400,Hectares
Others,Maramures,2008,6400,Hectares
Others,Maramures,2009,6000,Hectares
Others,Maramures,2010,7000,Hectares
Others,Maramures,2011,6700,Hectares
Others,Maramures,2012,6600,Hectares
Others,Maramures,2013,6600,Hectares
Others,Maramures,2014,6000,Hectares
Others,Maramures,2015,6600,Hectares
Others,Maramures,2016,6700,Hectares
Others,Maramures,2017,6500,Hectares
Others,Maramures,2018,6800,Hectares
Others,Maramures,2019,6400,Hectares
Others,Alba,1990,3200,Hectares
Others,Alba,1991,3200,Hectares
Others,Alba,1992,3400,Hectares
Others,Alba,1993,3200,Hectares
Others,Alba,1994,3300,Hectares
Others,Alba,1995,3200,Hectares
Others,Alba,1996,3300,Hectares
Others,Alba,1997,3300,Hectares
Others,Alba,1998,3400,Hectares
Others,Alba,1999,3600,Hectares
Others,Alba,2000,3700,Hectares
Others,Alba,2001,3800,Hectares
Others,Alba,2002,3700,Hectares
Others,Alba,2003,3800,Hectares
Others,Alba,2004,3700,Hectares
Others,Alba,2005,3900,Hectares
Others,Alba,2006,3800,Hectares
Others,Alba,2007,3800,Hectares
Others,Alba,2008,3800,Hectares
Others,Alba,2009,4500,Hectares
Others,Alba,2010,4600,Hectares
Others,Alba,2011,4300,Hectares
Others,Alba,2012,4600,Hectares
Others,Alba,2013,4700,Hectares
Others,Alba,2014,4700,Hectares
Others,Alba,2015,4700,Hectares
Others,Alba,2016,4600,Hectares
Others,Alba,2017,4700,Hectares
Others,Alba,2018,4500,Hectares
Others,Alba,2019,4500,Hectares
Others,Brasov,1990,2500,Hectares
Others,Brasov,1991,2300,Hectares
Others,Brasov,1992,2100,Hectares
Others,Brasov,1993,2000,Hectares
Others,Brasov,1994,2200,Hectares
Others,Brasov,1995,2400,Hectares
Others,Brasov,1996,2400,Hectares
Others,Brasov,1997,2600,Hectares
Others,Brasov,1998,2700,Hectares
Others,Brasov,1999,2700,Hectares
Others,Brasov,2000,2700,Hectares
Others,Brasov,2001,2600,Hectares
Others,Brasov,2002,2600,Hectares
Others,Brasov,2003,2600,Hectares
Others,Brasov,2004,2600,Hectares
Others,Brasov,2005,2600,Hectares
Others,Brasov,2006,2900,Hectares
Others,Brasov,2007,3400,Hectares
Others,Brasov,2008,3000,Hectares
Others,Brasov,2009,3100,Hectares
Others,Brasov,2010,2800,Hectares
Others,Brasov,2011,2800,Hectares
Others,Brasov,2012,2800,Hectares
Others,Brasov,2013,2800,Hectares
Others,Brasov,2014,2900,Hectares
Others,Brasov,2015,3000,Hectares
Others,Brasov,2016,3000,Hectares
Others,Brasov,2017,2900,Hectares
Others,Brasov,2018,3000,Hectares
Others,Brasov,2019,2800,Hectares
Others,Covasna,1990,2200,Hectares
Others,Covasna,1991,2000,Hectares
Others,Covasna,1992,1900,Hectares
Others,Covasna,1993,1800,Hectares
Others,Covasna,1994,1800,Hectares
Others,Covasna,1995,2000,Hectares
Others,Covasna,1996,2700,Hectares
Others,Covasna,1997,3200,Hectares
Others,Covasna,1998,3800,Hectares
Others,Covasna,1999,4000,Hectares
Others,Covasna,2000,3900,Hectares
Others,Covasna,2001,3400,Hectares
Others,Covasna,2002,2200,Hectares
Others,Covasna,2003,2100,Hectares
Others,Covasna,2004,2200,Hectares
Others,Covasna,2005,2100,Hectares
Others,Covasna,2006,1900,Hectares
Others,Covasna,2007,4600,Hectares
Others,Covasna,2008,2500,Hectares
Others,Covasna,2009,2400,Hectares
Others,Covasna,2010,1700,Hectares
Others,Covasna,2011,1700,Hectares
Others,Covasna,2012,1700,Hectares
Others,Covasna,2013,1700,Hectares
Others,Covasna,2014,1700,Hectares
Others,Covasna,2015,1800,Hectares
Others,Covasna,2016,1800,Hectares
Others,Covasna,2017,1700,Hectares
Others,Covasna,2018,1700,Hectares
Others,Covasna,2019,1600,Hectares
Others,Harghita,1990,3200,Hectares
Others,Harghita,1991,3300,Hectares
Others,Harghita,1992,3300,Hectares
Others,Harghita,1993,3200,Hectares
Others,Harghita,1994,3200,Hectares
Others,Harghita,1995,3100,Hectares
Others,Harghita,1996,4200,Hectares
Others,Harghita,1997,5100,Hectares
Others,Harghita,1998,6300,Hectares
Others,Harghita,1999,6400,Hectares
Others,Harghita,2000,6000,Hectares
Others,Harghita,2001,5200,Hectares
Others,Harghita,2002,5300,Hectares
Others,Harghita,2003,5300,Hectares
Others,Harghita,2004,6600,Hectares
Others,Harghita,2005,5800,Hectares
Others,Harghita,2006,5900,Hectares
Others,Harghita,2007,11300,Hectares
Others,Harghita,2008,5800,Hectares
Others,Harghita,2009,6100,Hectares
Others,Harghita,2010,5100,Hectares
Others,Harghita,2011,5100,Hectares
Others,Harghita,2012,4600,Hectares
Others,Harghita,2013,4700,Hectares
Others,Harghita,2014,4000,Hectares
Others,Harghita,2015,3600,Hectares
Others,Harghita,2016,3500,Hectares
Others,Harghita,2017,3300,Hectares
Others,Harghita,2018,3900,Hectares
Others,Harghita,2019,3900,Hectares
Others,Mures,1990,2000,Hectares
Others,Mures,1991,1800,Hectares
Others,Mures,1992,1800,Hectares
Others,Mures,1993,1900,Hectares
Others,Mures,1994,1800,Hectares
Others,Mures,1995,1500,Hectares
Others,Mures,1996,1500,Hectares
Others,Mures,1997,1900,Hectares
Others,Mures,1998,2100,Hectares
Others,Mures,1999,2300,Hectares
Others,Mures,2000,2700,Hectares
Others,Mures,2001,2500,Hectares
Others,Mures,2002,2400,Hectares
Others,Mures,2003,2300,Hectares
Others,Mures,2004,2400,Hectares
Others,Mures,2005,2300,Hectares
Others,Mures,2006,2100,Hectares
Others,Mures,2007,2200,Hectares
Others,Mures,2008,3800,Hectares
Others,Mures,2009,3400,Hectares
Others,Mures,2010,3300,Hectares
Others,Mures,2011,3000,Hectares
Others,Mures,2012,3000,Hectares
Others,Mures,2013,3500,Hectares
Others,Mures,2014,4600,Hectares
Others,Mures,2015,4400,Hectares
Others,Mures,2016,4200,Hectares
Others,Mures,2017,6700,Hectares
Others,Mures,2018,6400,Hectares
Others,Mures,2019,6600,Hectares
Others,Sibiu,1990,2300,Hectares
Others,Sibiu,1991,2200,Hectares
Others,Sibiu,1992,2100,Hectares
Others,Sibiu,1993,2100,Hectares
Others,Sibiu,1994,1900,Hectares
Others,Sibiu,1995,2000,Hectares
Others,Sibiu,1996,1900,Hectares
Others,Sibiu,1997,1900,Hectares
Others,Sibiu,1998,2000,Hectares
Others,Sibiu,1999,2000,Hectares
Others,Sibiu,2000,2100,Hectares
Others,Sibiu,2001,2200,Hectares
Others,Sibiu,2002,2400,Hectares
Others,Sibiu,2003,2500,Hectares
Others,Sibiu,2004,2700,Hectares
Others,Sibiu,2005,2500,Hectares
Others,Sibiu,2006,2200,Hectares
Others,Sibiu,2007,5400,Hectares
Others,Sibiu,2008,2300,Hectares
Others,Sibiu,2009,2400,Hectares
Others,Sibiu,2010,2200,Hectares
Others,Sibiu,2011,2300,Hectares
Others,Sibiu,2012,2200,Hectares
Others,Sibiu,2013,2300,Hectares
Others,Sibiu,2014,2300,Hectares
Others,Sibiu,2015,2400,Hectares
Others,Sibiu,2016,2500,Hectares
Others,Sibiu,2017,2400,Hectares
Others,Sibiu,2018,2500,Hectares
Others,Sibiu,2019,2400,Hectares
Others,Neamt,1990,3700,Hectares
Others,Neamt,1991,3400,Hectares
Others,Neamt,1992,3100,Hectares
Others,Neamt,1993,3300,Hectares
Others,Neamt,1994,3100,Hectares
Others,Neamt,1995,3300,Hectares
Others,Neamt,1996,3200,Hectares
Others,Neamt,1997,3200,Hectares
Others,Neamt,1998,3400,Hectares
Others,Neamt,1999,3600,Hectares
Others,Neamt,2000,3800,Hectares
Others,Neamt,2001,4100,Hectares
Others,Neamt,2002,3500,Hectares
Others,Neamt,2003,3400,Hectares
Others,Neamt,2004,5400,Hectares
Others,Neamt,2005,4900,Hectares
Others,Neamt,2006,4600,Hectares
Others,Neamt,2007,4900,Hectares
Others,Neamt,2008,5900,Hectares
Others,Neamt,2009,5000,Hectares
Others,Neamt,2010,5200,Hectares
Others,Neamt,2011,5100,Hectares
Others,Neamt,2012,4900,Hectares
Others,Neamt,2013,5100,Hectares
Others,Neamt,2014,4600,Hectares
Others,Neamt,2015,4700,Hectares
Others,Neamt,2016,4700,Hectares
Others,Neamt,2017,4700,Hectares
Others,Neamt,2018,4500,Hectares
Others,Neamt,2019,4600,Hectares
Others,Suceava,1990,7900,Hectares
Others,Suceava,1991,7300,Hectares
Others,Suceava,1992,7300,Hectares
Others,Suceava,1993,7100,Hectares
Others,Suceava,1994,6800,Hectares
Others,Suceava,1995,6900,Hectares
Others,Suceava,1996,6800,Hectares
Others,Suceava,1997,6900,Hectares
Others,Suceava,1998,7100,Hectares
Others,Suceava,1999,9800,Hectares
Others,Suceava,2000,10600,Hectares
Others,Suceava,2001,10400,Hectares
Others,Suceava,2002,11500,Hectares
Others,Suceava,2003,13400,Hectares
Others,Suceava,2004,15600,Hectares
Others,Suceava,2005,14200,Hectares
Others,Suceava,2006,13800,Hectares
Others,Suceava,2007,13700,Hectares
Others,Suceava,2008,14400,Hectares
Others,Suceava,2009,14800,Hectares
Others,Suceava,2010,14700,Hectares
Others,Suceava,2011,14400,Hectares
Others,Suceava,2012,14400,Hectares
Others,Suceava,2013,14100,Hectares
Others,Suceava,2014,14300,Hectares
Others,Suceava,2015,14400,Hectares
Others,Suceava,2016,13000,Hectares
Others,Suceava,2017,12800,Hectares
Others,Suceava,2018,12600,Hectares
Others,Suceava,2019,12600,Hectares
Others,Buzau,1990,2000,Hectares
Others,Buzau,1991,2000,Hectares
Others,Buzau,1992,2000,Hectares
Others,Buzau,1993,2000,Hectares
Others,Buzau,1994,2300,Hectares
Others,Buzau,1995,2400,Hectares
Others,Buzau,1996,2600,Hectares
Others,Buzau,1997,2800,Hectares
Others,Buzau,1998,2700,Hectares
Others,Buzau,1999,2800,Hectares
Others,Buzau,2000,2900,Hectares
Others,Buzau,2001,2800,Hectares
Others,Buzau,2002,2700,Hectares
Others,Buzau,2003,2700,Hectares
Others,Buzau,2004,2600,Hectares
Others,Buzau,2005,2800,Hectares
Others,Buzau,2006,2700,Hectares
Others,Buzau,2007,2800,Hectares
Others,Buzau,2008,2400,Hectares
Others,Buzau,2009,2300,Hectares
Others,Buzau,2010,2300,Hectares
Others,Buzau,2011,2500,Hectares
Others,Buzau,2012,2600,Hectares
Others,Buzau,2013,2600,Hectares
Others,Buzau,2014,2600,Hectares
Others,Buzau,2015,2500,Hectares
Others,Buzau,2016,2600,Hectares
Others,Buzau,2017,2600,Hectares
Others,Buzau,2018,2700,Hectares
Others,Buzau,2019,2800,Hectares
Others,Galati,1990,1700,Hectares
Others,Galati,1991,1500,Hectares
Others,Galati,1992,1600,Hectares
Others,Galati,1993,1500,Hectares
Others,Galati,1994,1400,Hectares
Others,Galati,1995,1900,Hectares
Others,Galati,1996,1800,Hectares
Others,Galati,1997,2500,Hectares
Others,Galati,1998,2400,Hectares
Others,Galati,1999,2100,Hectares
Others,Galati,2000,2000,Hectares
Others,Galati,2001,2000,Hectares
Others,Galati,2002,2700,Hectares
Others,Galati,2003,2300,Hectares
Others,Galati,2004,2200,Hectares
Others,Galati,2005,2200,Hectares
Others,Galati,2006,1900,Hectares
Others,Galati,2007,1900,Hectares
Others,Galati,2008,2000,Hectares
Others,Galati,2009,1800,Hectares
Others,Galati,2010,1900,Hectares
Others,Galati,2011,1700,Hectares
Others,Galati,2012,1800,Hectares
Others,Galati,2013,1800,Hectares
Others,Galati,2014,1900,Hectares
Others,Galati,2015,1800,Hectares
Others,Galati,2016,1800,Hectares
Others,Galati,2017,1800,Hectares
Others,Galati,2018,1800,Hectares
Others,Galati,2019,1600,Hectares
Others,Arges,1990,4900,Hectares
Others,Arges,1991,4900,Hectares
Others,Arges,1992,4900,Hectares
Others,Arges,1993,4800,Hectares
Others,Arges,1994,5000,Hectares
Others,Arges,1995,4900,Hectares
Others,Arges,1996,5000,Hectares
Others,Arges,1997,4900,Hectares
Others,Arges,1998,5100,Hectares
Others,Arges,1999,5100,Hectares
Others,Arges,2000,5400,Hectares
Others,Arges,2001,5400,Hectares
Others,Arges,2002,5400,Hectares
Others,Arges,2003,5200,Hectares
Others,Arges,2004,5600,Hectares
Others,Arges,2005,5600,Hectares
Others,Arges,2006,5600,Hectares
Others,Arges,2007,5200,Hectares
Others,Arges,2008,5200,Hectares
Others,Arges,2009,5500,Hectares
Others,Arges,2010,5500,Hectares
Others,Arges,2011,5300,Hectares
Others,Arges,2012,5500,Hectares
Others,Arges,2013,5500,Hectares
Others,Arges,2014,5500,Hectares
Others,Arges,2015,4700,Hectares
Others,Arges,2016,4800,Hectares
Others,Arges,2017,4900,Hectares
Others,Arges,2018,5000,Hectares
Others,Arges,2019,4700,Hectares
Others,Dambovita,1990,2400,Hectares
Others,Dambovita,1991,2400,Hectares
Others,Dambovita,1992,2300,Hectares
Others,Dambovita,1993,2300,Hectares
Others,Dambovita,1994,2900,Hectares
Others,Dambovita,1995,3000,Hectares
Others,Dambovita,1996,2700,Hectares
Others,Dambovita,1997,2900,Hectares
Others,Dambovita,1998,3000,Hectares
Others,Dambovita,1999,2800,Hectares
Others,Dambovita,2000,2800,Hectares
Others,Dambovita,2001,2800,Hectares
Others,Dambovita,2002,2800,Hectares
Others,Dambovita,2003,2900,Hectares
Others,Dambovita,2004,3100,Hectares
Others,Dambovita,2005,3200,Hectares
Others,Dambovita,2006,3200,Hectares
Others,Dambovita,2007,3200,Hectares
Others,Dambovita,2008,2900,Hectares
Others,Dambovita,2009,2900,Hectares
Others,Dambovita,2010,2900,Hectares
Others,Dambovita,2011,2900,Hectares
Others,Dambovita,2012,2900,Hectares
Others,Dambovita,2013,2900,Hectares
Others,Dambovita,2014,3200,Hectares
Others,Dambovita,2015,2600,Hectares
Others,Dambovita,2016,2600,Hectares
Others,Dambovita,2017,2600,Hectares
Others,Dambovita,2018,2600,Hectares
Others,Dambovita,2019,2700,Hectares
Others,Ilfov,1990,900,Hectares
Others,Ilfov,1991,600,Hectares
Others,Ilfov,1992,900,Hectares
Others,Ilfov,1993,1300,Hectares
Others,Ilfov,1994,1400,Hectares
Others,Ilfov,1995,1400,Hectares
Others,Ilfov,1996,1400,Hectares
Others,Ilfov,1997,1700,Hectares
Others,Ilfov,1998,1700,Hectares
Others,Ilfov,1999,1700,Hectares
Others,Ilfov,2000,1700,Hectares
Others,Ilfov,2001,1600,Hectares
Others,Ilfov,2002,1600,Hectares
Others,Ilfov,2003,1800,Hectares
Others,Ilfov,2004,1600,Hectares
Others,Ilfov,2005,1600,Hectares
Others,Ilfov,2006,1600,Hectares
Others,Ilfov,2007,1600,Hectares
Others,Ilfov,2008,1500,Hectares
Others,Ilfov,2009,1500,Hectares
Others,Ilfov,2010,1500,Hectares
Others,Ilfov,2011,1500,Hectares
Others,Ilfov,2012,1500,Hectares
Others,Ilfov,2013,1500,Hectares
Others,Ilfov,2014,1500,Hectares
Others,Ilfov,2015,1500,Hectares
Others,Ilfov,2016,1500,Hectares
Others,Ilfov,2017,1600,Hectares
Others,Ilfov,2018,1600,Hectares
Others,Ilfov,2019,1500,Hectares
Others,Gorj,1990,3900,Hectares
Others,Gorj,1991,3600,Hectares
Others,Gorj,1992,3800,Hectares
Others,Gorj,1993,3700,Hectares
Others,Gorj,1994,3500,Hectares
Others,Gorj,1995,3600,Hectares
Others,Gorj,1996,3600,Hectares
Others,Gorj,1997,3600,Hectares
Others,Gorj,1998,4100,Hectares
Others,Gorj,1999,3400,Hectares
Others,Gorj,2000,3500,Hectares
Others,Gorj,2001,3500,Hectares
Others,Gorj,2002,3500,Hectares
Others,Gorj,2003,3500,Hectares
Others,Gorj,2004,3600,Hectares
Others,Gorj,2005,3500,Hectares
Others,Gorj,2006,3600,Hectares
Others,Gorj,2007,3800,Hectares
Others,Gorj,2008,3400,Hectares
Others,Gorj,2009,3400,Hectares
Others,Gorj,2010,4900,Hectares
Others,Gorj,2011,4800,Hectares
Others,Gorj,2012,4900,Hectares
Others,Gorj,2013,5800,Hectares
Others,Gorj,2014,5800,Hectares
Others,Gorj,2015,5400,Hectares
